Country,Year,Passengers
Australia,1990,17553400
Australia,1991,21860100
Australia,1992,23886600
Australia,1993,26929300
Australia,1994,26888500
Australia,1995,28831400
Australia,1996,30075100
Australia,1997,30953500
Australia,1998,30185700
Australia,1999,31579700
Australia,2000,32577569
Australia,2001,33477398
Australia,2002,39021581
Australia,2003,41386432
Australia,2004,41596552
Australia,2005,44657324
Australia,2006,46951775
Australia,2007,48728837
Australia,2008,51488427
Australia,2009,50026967
Australia,2010,60640913
Australia,2011,63360310.34
Australia,2012,66355274
Australia,2013,68197955
Australia,2014,68123237.67
Australia,2015,69779346
Australia,2016,72446421
Australia,2017,74257326
Australia,2018,75667645.03
Australia,2019,76850596.72
Australia,2020,23627140.51
World,2019,4557605838
World,2018,4242447521
World,2017,3973790463
World,2016,3705101897
World,2015,3466478485
World,2014,3227291386
World,2013,3048275073
World,2012,2894054972
World,2011,2786953830
World,2010,2628261258
World,2009,2249728546
World,2007,2209136496
World,2008,2208218737
World,2006,2072413898
World,2005,1969590799
World,2004,1888695284
World,2020,1809388959
World,2000,1674064712
World,2003,1665309283
World,2001,1655230214
World,2002,1627404873
World,1999,1562256300
World,1998,1466961780
World,1997,1455104192
World,1996,1390963704
World,1995,1302891640
World,1994,1233233404
World,1992,1145436692
World,1993,1142265216
World,1991,1133228204
World,1990,1024976616
